Ref,Val,Package,PosX,PosY,Rot,Side
"C4","0.1u","C_0805_2012Metric",216.000000,-115.000000,90.000000,top
"C5","3.3n","C_0805_2012Metric",224.000000,-115.000000,90.000000,top
"C6","3.3n","C_0805_2012Metric",235.000000,-115.000000,90.000000,top
"D1","10V","SOT-23",252.000000,-115.000000,0.000000,top
"Q1","AO3400","SOT-23",199.000000,-125.000000,0.000000,top
"Q2","IRF7317","SOIC-8_3.9x4.9mm_P1.27mm",208.000000,-122.000000,90.000000,top
"R1","10k","R_0805_2012Metric",200.000000,-115.000000,90.000000,top
"R2","10k","R_0805_2012Metric",199.000000,-120.000000,0.000000,top
"R3","360","R_0805_2012Metric",204.000000,-115.000000,90.000000,top
"R4","360","R_0805_2012Metric",208.000000,-115.000000,90.000000,top
"R5","10k","R_0805_2012Metric",252.000000,-120.000000,0.000000,top
"R6","10k","R_0805_2012Metric",212.000000,-115.000000,90.000000,top
"R7","10","R_0805_2012Metric",240.000000,-120.000000,0.000000,top
"R8","10","R_0805_2012Metric",240.000000,-115.000000,90.000000,top
"R9","13k","R_0805_2012Metric",246.000000,-120.000000,0.000000,top
"R10","120","R_0805_2012Metric",247.000000,-115.000000,90.000000,top
"R11","13k","R_0805_2012Metric",240.000000,-124.000000,0.000000,top
"R12","10k","R_0805_2012Metric",232.030000,-64.970000,90.000000,top
"R13","10k","R_0805_2012Metric",235.980000,-64.970000,90.000000,top
"R14","10k","R_0805_2012Metric",252.000000,-65.000000,90.000000,top
"R15","10k","R_0805_2012Metric",239.930000,-64.970000,90.000000,top
"R16","10k","R_0805_2012Metric",243.880000,-64.970000,90.000000,top
"R17","10k","R_0805_2012Metric",248.000000,-65.000000,90.000000,top
"R18","10k","R_0805_2012Metric",246.000000,-124.000000,0.000000,top
"R19","10k","R_0805_2012Metric",193.000000,-126.000000,0.000000,top
"U1","LM2903","SOIC-8_3.9x4.9mm_P1.27mm",217.000000,-122.000000,90.000000,top
"U2","USBLC6-2SC6","SOT-666",229.000000,-114.820000,90.000000,top
